accession	trait	soma_target	gene_token	full_pvalue
GCST90240917	Discoidin domain-containing receptor 2 levels (DDR2.3606.2.5)	DDR2.3606.2.5	DDR2	True
GCST90240918	Discoidin, CUB and LCCL domain-containing protein 2 levels (DCBLD2.9338.2.3)	DCBLD2.9338.2.3	DCBLD2	True
GCST90240919	Disintegrin and metalloproteinase domain-containing protein 11 levels (ADAM11.6586.19.3)	ADAM11.6586.19.3	ADAM11	True
GCST90240920	Disintegrin and metalloproteinase domain-containing protein 12 levels (ADAM12.4420.7.2)	ADAM12.4420.7.2	ADAM12	True
GCST90240921	Disintegrin and metalloproteinase domain-containing protein 19 levels (ADAM19.8948.13.3)	ADAM19.8948.13.3	ADAM19	True
GCST90240922	Disintegrin and metalloproteinase domain-containing protein 23 levels (ADAM23.7049.2.3)	ADAM23.7049.2.3	ADAM23	True
GCST90240923	Disintegrin and metalloproteinase domain-containing protein 29 levels (ADAM29.13549.15.3)	ADAM29.13549.15.3	ADAM29	True
GCST90240924	Disintegrin and metalloproteinase domain-containing protein 9 levels (ADAM9.3795.6.2)	ADAM9.3795.6.2	ADAM9	True
GCST90240925	Disks large homolog 3 levels (DLG3.7897.75.3)	DLG3.7897.75.3	DLG3	True
GCST90240926	DNA dC->dU-editing enzyme APOBEC-3G levels (APOBEC3G.13930.3.3)	APOBEC3G.13930.3.3	APOBEC3G	True
GCST90240927	DNA excision repair protein ERCC-1 levels (ERCC1.12585.39.3)	ERCC1.12585.39.3	ERCC1	True
GCST90240928	DNA polymerase eta levels (POLH.10022.207.3)	POLH.10022.207.3	POLH	True
GCST90240929	DNA polymerase iota levels (POLI.13536.56.3)	POLI.13536.56.3	POLI	True
GCST90240930	DNA primase small subunit levels (PRIM1.13591.31.3)	PRIM1.13591.31.3	PRIM1	True
GCST90240931	DNA repair endonuclease XPF levels (ERCC4.9895.77.3)	ERCC4.9895.77.3	ERCC4	True
GCST90240932	DNA repair protein RAD51 homolog 1 levels (RAD51.2871.73.2)	RAD51.2871.73.2	RAD51	True
GCST90240933	DNA repair protein RAD51 homolog 4 levels (RAD51L3.12554.10.3)	RAD51L3.12554.10.3	RAD51L3	True
GCST90240934	DNA repair protein XRCC1 levels (XRCC1.12535.2.3)	XRCC1.12535.2.3	XRCC1	True
GCST90240935	DNA repair protein XRCC4 levels (XRCC4.9886.28.3)	XRCC4.9886.28.3	XRCC4	True
GCST90240936	DNA topoisomerase 1 levels (TOP1.2876.74.2)	TOP1.2876.74.2	TOP1	True
GCST90240937	DNA topoisomerase 2-binding protein 1 levels (TOPBP1.9947.22.3)	TOPBP1.9947.22.3	TOPBP1	True
GCST90240938	DNA-(apurinic or apyrimidinic site) lyase levels (APEX1.9849.13.3)	apurinic or apyrimidinic site	apurinic or apyrimidinic site	True
GCST90240939	DNA-3-methyladenine glycosylase levels (MPG.12438.127.3)	MPG.12438.127.3	MPG	True
GCST90240940	DNA-binding protein inhibitor ID-1 levels (ID1.9436.2.3)	ID1.9436.2.3	ID1	True
GCST90240941	DNA-binding protein inhibitor ID-2 levels (ID2.9426.73.3)	ID2.9426.73.3	ID2	True
GCST90240942	DNA-binding protein SATB1 levels (SATB1.13511.29.3)	SATB1.13511.29.3	SATB1	True
GCST90240943	DNA-binding protein SATB2 levels (SATB2.10081.17.3)	SATB2.10081.17.3	SATB2	True
GCST90240944	DNA-directed DNA/RNA polymerase mu levels (POLM.12851.5.3)	POLM.12851.5.3	POLM	True
GCST90240945	DNA-directed RNA polymerases I and III subunit RPAC1 levels (POLR1C.12939.1.3)	POLR1C.12939.1.3	POLR1C	True
GCST90240946	DNA/RNA-binding protein KIN17 levels (KIN.14643.27.3)	KIN.14643.27.3	KIN	True
GCST90240947	DNA/RNA-binding protein KIN17 levels (KIN.13476.16.3)	KIN.13476.16.3	KIN	True
GCST90240948	DnaJ homolog subfamily A member 4 levels (DNAJA4.9744.139.3)	DNAJA4.9744.139.3	DNAJA4	True
GCST90240949	DnaJ homolog subfamily B member 1 levels (DNAJB1.3852.19.2)	DNAJB1.3852.19.2	DNAJB1	True
GCST90240950	DnaJ homolog subfamily B member 11 levels (DNAJB11.7110.2.3)	DNAJB11.7110.2.3	DNAJB11	True
GCST90240951	DnaJ homolog subfamily B member 12 levels (DNAJB12.8006.12.3)	DNAJB12.8006.12.3	DNAJB12	True
GCST90240952	DnaJ homolog subfamily B member 14 levels (DNAJB14.8053.16.3)	DNAJB14.8053.16.3	DNAJB14	True
GCST90240953	DnaJ homolog subfamily B member 14 levels (DNAJB14.8037.53.3)	DNAJB14.8037.53.3	DNAJB14	True
GCST90240954	DnaJ homolog subfamily B member 2 levels (DNAJB2.11438.6.3)	DNAJB2.11438.6.3	DNAJB2	True
GCST90240955	DnaJ homolog subfamily B member 9 levels (DNAJB9.11214.40.3)	DNAJB9.11214.40.3	DNAJB9	True
GCST90240956	DnaJ homolog subfamily C member 10 levels (DNAJC10.8297.8.3)	DNAJC10.8297.8.3	DNAJC10	True
GCST90240957	DnaJ homolog subfamily C member 15 levels (DNAJC15.7197.2.3)	DNAJC15.7197.2.3	DNAJC15	True
GCST90240958	DnaJ homolog subfamily C member 17 levels (DNAJC17.14655.1.3)	DNAJC17.14655.1.3	DNAJC17	True
GCST90240959	DnaJ homolog subfamily C member 18 levels (DNAJC18.8033.1.3)	DNAJC18.8033.1.3	DNAJC18	True
GCST90240960	DnaJ homolog subfamily C member 27 levels (DNAJC27.12799.65.3)	DNAJC27.12799.65.3	DNAJC27	True
GCST90240961	DnaJ homolog subfamily C member 30 levels (DNAJC30.7866.11.3)	DNAJC30.7866.11.3	DNAJC30	True
GCST90240962	DnaJ homolog subfamily C member 4 levels (DNAJC4.8016.19.3)	DNAJC4.8016.19.3	DNAJC4	True
GCST90240963	Docking protein 2 levels (DOK2.14246.50.3)	DOK2.14246.50.3	DOK2	True
GCST90240964	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 levels (RPN1.6458.6.3)	RPN1.6458.6.3	RPN1	True
GCST90240965	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 levels (RPN1.10490.3.3)	RPN1.10490.3.3	RPN1	True
GCST90240966	Dorsal root ganglia homeobox protein levels (DRGX.8034.6.3)	DRGX.8034.6.3	DRGX	True
GCST90240967	Double-strand break repair protein MRE11A levels (MRE11A.11319.106.3)	MRE11A.11319.106.3	MRE11A	True
GCST90240968	Double-stranded RNA-binding protein Staufen homolog 1 levels (STAU1.12471.47.3)	STAU1.12471.47.3	STAU1	True
GCST90240969	Double-stranded RNA-binding protein Staufen homolog 2 levels (STAU2.12970.35.3)	STAU2.12970.35.3	STAU2	True
GCST90240970	Down syndrome cell adhesion molecule levels (DSCAM.9175.48.3)	DSCAM.9175.48.3	DSCAM	True
GCST90240971	Drebrin-like protein levels (DBNL.4978.54.2)	DBNL.4978.54.2	DBNL	True
GCST90240972	Dual specificity mitogen-activated protein kinase kinase 1 levels (MAP2K1.2864.2.3)	MAP2K1.2864.2.3	MAP2K1	True
GCST90240973	Dual specificity mitogen-activated protein kinase kinase 3 levels (MAP2K3.6151.18.3)	MAP2K3.6151.18.3	MAP2K3	True
GCST90240974	Dual specificity mitogen-activated protein kinase kinase 4 levels (MAP2K4.5242.37.3)	MAP2K4.5242.37.3	MAP2K4	True
GCST90240975	Dual specificity protein kinase CLK2 levels (CLK2.11327.56.3)	CLK2.11327.56.3	CLK2	True
GCST90240976	Dual specificity protein phosphatase 13 isoform A levels (DUSP13.6525.17.3)	DUSP13.6525.17.3	DUSP13	True
GCST90240977	Dual specificity protein phosphatase 15 levels (DUSP15.12838.28.3)	DUSP15.12838.28.3	DUSP15	True
GCST90240978	Dual specificity protein phosphatase 16 levels (DUSP16.14631.22.3)	DUSP16.14631.22.3	DUSP16	True
GCST90240979	Dual specificity protein phosphatase 4 levels (DUSP4.10035.6.3)	DUSP4.10035.6.3	DUSP4	True
GCST90240980	Dual specificity protein phosphatase 6 levels (DUSP6.12341.8.3)	DUSP6.12341.8.3	DUSP6	True
GCST90240981	Dual specificity tyrosine-phosphorylation-regulated kinase 3 levels (DYRK3.4359.87.1)	DYRK3.4359.87.1	DYRK3	True
GCST90240982	Dynactin subunit 2 levels (DCTN2.5879.51.3)	DCTN2.5879.51.3	DCTN2	True
GCST90240983	Dynactin-associated protein levels (DYNAP.10692.48.3)	DYNAP.10692.48.3	DYNAP	True
GCST90240984	Dynein light chain 1, cytoplasmic levels (DYNLL1.3881.49.2)	DYNLL1.3881.49.2	DYNLL1	True
GCST90240985	Dynein light chain Tctex-type 3 levels (DYNLT3.12867.40.3)	DYNLT3.12867.40.3	DYNLT3	True
GCST90240986	Dyslexia-associated protein KIAA0319 levels (KIAA0319.10013.34.3)	KIAA0319.10013.34.3	KIAA0319	True
GCST90240987	Dyslexia-associated protein KIAA0319-like protein levels (KIAA0319L.13698.28.3)	KIAA0319L.13698.28.3	KIAA0319L	True
GCST90240988	Dystroglycan levels (DAG1.8369.102.3)	DAG1.8369.102.3	DAG1	True
GCST90240989	E-selectin levels (SELE.3470.1.2)	SELE.3470.1.2	SELE	True
GCST90240794	Cortexin-3 levels (CTXN3.10467.58.3)	CTXN3.10467.58.3	CTXN3	True
GCST90240795	Corticoliberin levels (CRH.5614.44.3)	CRH.5614.44.3	CRH	True
GCST90240796	Corticosteroid-binding globulin levels (SERPINA6.4785.30.3)	SERPINA6.4785.30.3	SERPINA6	True
GCST90240797	Corticotropin-releasing factor-binding protein levels (CRHBP.6039.24.3)	CRHBP.6039.24.3	CRHBP	True
GCST90240798	Coxsackievirus and adenovirus receptor levels (CXADR.11204.80.3)	CXADR.11204.80.3	CXADR	True
GCST90240799	Creatine kinase B-type levels (CKB.3800.71.2)	CKB.3800.71.2	CKB	True
GCST90240800	Creatine kinase M-type levels (CKM.2670.67.4)	CKM.2670.67.4	CKM	True
GCST90240801	CREB-binding protein levels (CREBBP.13614.6.3)	CREBBP.13614.6.3	CREBBP	True
GCST90240802	Crk-like protein levels (CRKL.9877.28.3)	CRKL.9877.28.3	CRKL	True
GCST90240803	Cryptic protein levels (CFC1.3294.55.2)	CFC1.3294.55.2	CFC1	True
GCST90240804	CUB and sushi domain-containing protein 1 levels (CSMD1.9598.23.3)	CSMD1.9598.23.3	CSMD1	True
GCST90240805	CUB and sushi domain-containing protein 2 levels (CSMD2.9971.5.3)	CSMD2.9971.5.3	CSMD2	True
GCST90240806	CUB and zona pellucida-like domain-containing protein 1 levels (CUZD1.7943.16.3)	CUZD1.7943.16.3	CUZD1	True
GCST90240807	CUB domain-containing protein 1 levels (CDCP1.6565.68.3)	CDCP1.6565.68.3	CDCP1	True
GCST90240808	cubilin levels (CUBN.12904.180.3)	CUBN.12904.180.3	CUBN	True
GCST90240809	CUGBP Elav-like family member 2 levels (CELF2.7245.2.3)	CELF2.7245.2.3	CELF2	True
GCST90240810	Cullin-3 levels (CUL3.10045.47.3)	CUL3.10045.47.3	CUL3	True
GCST90240811	Cullin-4B levels (CUL4B.13743.56.3)	CUL4B.13743.56.3	CUL4B	True
GCST90240812	Cullin-9 levels (CUL9.12991.49.3)	CUL9.12991.49.3	CUL9	True
GCST90240813	Cullin-associated NEDD8-dissociated protein 1 levels (CAND1.13937.75.3)	CAND1.13937.75.3	CAND1	True
GCST90240814	CXADR-like membrane protein levels (CLMP.10440.26.3)	CLMP.10440.26.3	CLMP	True
GCST90240815	CXADR-like membrane protein levels (CLMP.9585.80.3)	CLMP.9585.80.3	CLMP	True
GCST90240816	Cyclic AMP-dependent transcription factor ATF-6 alpha levels (ATF6.11277.23.3)	ATF6.11277.23.3	ATF6	True
GCST90240817	Cyclic AMP-responsive element-binding protein 3-like protein 1 levels (CREB3L1.11198.37.3)	CREB3L1.11198.37.3	CREB3L1	True
GCST90240818	Cyclic AMP-responsive element-binding protein 3-like protein 4 levels (CREB3L4.11308.8.3)	CREB3L4.11308.8.3	CREB3L4	True
GCST90240819	Cyclin-C levels (CCNC.7817.36.3)	CCNC.7817.36.3	CCNC	True
GCST90240820	Cyclin-dependent kinase 1:G2/mitotic-specific cyclin-B1 complex levels (CDC2.CCNB1.3422.4.2)	CDC2.CCNB1.3422.4.2	CDC2	True
GCST90240821	Cyclin-dependent kinase 2-associated protein 1 levels (CDK2AP1.9450.18.3)	CDK2AP1.9450.18.3	CDK2AP1	True
GCST90240822	Cyclin-dependent kinase 2:Cyclin-A2 complex levels (CDK2.CCNA2.3357.67.2)	CDK2.CCNA2.3357.67.2	CDK2	True
GCST90240823	Cyclin-dependent kinase 4 inhibitor B levels (CDKN2B.9874.28.3)	CDKN2B.9874.28.3	CDKN2B	True
GCST90240824	Cyclin-dependent kinase 5:Cyclin-dependent kinase 5 activator 1 complex levels (CDK5.CDK5R1.3358.51.2)	CDK5.CDK5R1.3358.51.2	CDK5	True
GCST90240825	Cyclin-dependent kinase 8:Cyclin-C complex levels (CDK8.CCNC.3359.11.2)	CDK8.CCNC.3359.11.2	CDK8	True
GCST90240826	Cyclin-dependent kinase inhibitor 1B levels (CDKN1B.3719.2.2)	CDKN1B.3719.2.2	CDKN1B	True
GCST90240827	Cyclin-dependent kinase inhibitor 3 levels (CDKN3.14178.18.3)	CDKN3.14178.18.3	CDKN3	True
GCST90240828	Cyclin-H levels (CCNH.9848.22.3)	CCNH.9848.22.3	CCNH	True
GCST90240829	Cystathionine beta-synthase levels (CBS.10086.39.3)	CBS.10086.39.3	CBS	True
GCST90240830	Cystatin-8 levels (CST8.10572.65.3)	CST8.10572.65.3	CST8	True
GCST90240831	Cystatin-D levels (CST5.13661.193.3)	CST5.13661.193.3	CST5	True
GCST90240832	Cystatin-F levels (CST7.3302.58.1)	CST7.3302.58.1	CST7	True
GCST90240833	Cystatin-M levels (CST6.3303.23.2)	CST6.3303.23.2	CST6	True
GCST90240834	Cystatin-M levels (CST6.14711.27.3)	CST6.14711.27.3	CST6	True
GCST90240835	Cysteine and glycine-rich protein 2 levels (CSRP2.12968.2.3)	CSRP2.12968.2.3	CSRP2	True
GCST90240836	Cysteine and glycine-rich protein 3 levels (CSRP3.9171.11.3)	CSRP3.9171.11.3	CSRP3	True
GCST90240837	Cysteine--tRNA ligase, cytoplasmic levels (CARS.14098.28.3)	CARS.14098.28.3	CARS	True
GCST90240838	Cysteine-rich hydrophobic domain-containing protein 2 levels (CHIC2.10914.4.3)	CHIC2.10914.4.3	CHIC2	True
GCST90240839	Cysteine-rich motor neuron 1 protein levels (CRIM1.8699.43.3)	CRIM1.8699.43.3	CRIM1	True
GCST90240840	Cysteine-rich secretory protein 2 levels (CRISP2.9282.12.3)	CRISP2.9282.12.3	CRISP2	True
GCST90240841	Cysteine-rich secretory protein 3 levels (CRISP3.3187.52.2)	CRISP3.3187.52.2	CRISP3	True
GCST90240842	Cysteine-rich secretory protein LCCL domain-containing 2 levels (CRISPLD2.5691.2.3)	CRISPLD2.5691.2.3	CRISPLD2	True
GCST90240843	Cysteine-rich with EGF-like domain protein 1 levels (CRELD1.7628.40.3)	CRELD1.7628.40.3	CRELD1	True
GCST90240844	Cytochrome b-c1 complex subunit 7 levels (UQCRB.12957.62.3)	UQCRB.12957.62.3	UQCRB	True
GCST90240845	Cytochrome b5 levels (CYB5A.11287.14.3)	CYB5A.11287.14.3	CYB5A	True
GCST90240846	Cytochrome c levels (CYCS.2942.50.2)	CYCS.2942.50.2	CYCS	True
GCST90240847	Cytochrome c oxidase assembly factor 3 homolog, mitochondrial levels (COA3.7888.58.3)	COA3.7888.58.3	COA3	True
GCST90240848	Cytochrome c oxidase subunit 4 isoform 2, mitochondrial levels (COX4I2.7850.1.3)	COX4I2.7850.1.3	COX4I2	True
GCST90240849	Cytochrome c oxidase subunit 5B, mitochondrial levels (COX5B.7887.57.3)	COX5B.7887.57.3	COX5B	True
GCST90240850	Cytochrome c oxidase subunit 6C levels (COX6C.8903.1.3)	COX6C.8903.1.3	COX6C	True
GCST90240851	Cytochrome c oxidase subunit 7A1, mitochondrial levels (COX7A1.8390.25.3)	COX7A1.8390.25.3	COX7A1	True
GCST90240852	Cytochrome c oxidase subunit 8A, mitochondrial levels (COX8A.10497.242.3)	COX8A.10497.242.3	COX8A	True
GCST90240853	Cytochrome P450 3A4 levels (CYP3A4.2943.5.2)	CYP3A4.2943.5.2	CYP3A4	True
GCST90240854	Cytochrome P450 3A4 levels (CYP3A4.7879.12.3)	CYP3A4.7879.12.3	CYP3A4	True
GCST90240855	Cytoglobin levels (CYGB.11546.7.3)	CYGB.11546.7.3	CYGB	True
GCST90240856	Cytohesin-2 levels (CYTH2.12533.135.3)	CYTH2.12533.135.3	CYTH2	True
GCST90240857	Cytohesin-4 levels (CYTH4.12746.4.3)	CYTH4.12746.4.3	CYTH4	True
GCST90240858	Cytohesin-interacting protein levels (CYTIP.13612.7.3)	CYTIP.13612.7.3	CYTIP	True
GCST90240859	Cytokine receptor common subunit beta levels (CSF2RB.10512.13.3)	CSF2RB.10512.13.3	CSF2RB	True
GCST90240860	Cytokine receptor common subunit beta levels (CSF2RB.11137.43.3)	CSF2RB.11137.43.3	CSF2RB	True
GCST90240861	Cytokine receptor common subunit gamma levels (IL2RG.2634.2.2)	IL2RG.2634.2.2	IL2RG	True
GCST90240862	Cytokine receptor-like factor 1 levels (CRLF1.CLCF1.2607.54.2)	CRLF1.CLCF1.2607.54.2	CRLF1	True
GCST90240863	Cytokine receptor-like factor 2 levels (CRLF2.2746.56.1)	CRLF2.2746.56.1	CRLF2	True
GCST90240864	Cytokine receptor-like factor 2 levels (CRLF2.13694.24.3)	CRLF2.13694.24.3	CRLF2	True
GCST90240865	Cytoplasmic tyrosine-protein kinase BMX levels (BMX.3414.40.2)	BMX.3414.40.2	BMX	True
GCST90240866	Cytoskeleton-associated protein 2 levels (CKAP2.5345.51.3)	CKAP2.5345.51.3	CKAP2	True
GCST90240867	Cytosolic non-specific dipeptidase levels (CNDP2.3192.3.2)	CNDP2.3192.3.2	CNDP2	True
GCST90240868	Cytotoxic and regulatory T-cell molecule levels (CRTAM.5068.54.3)	CRTAM.5068.54.3	CRTAM	True
GCST90240869	Cytotoxic and regulatory T-cell molecule levels (CRTAM.7968.15.3)	CRTAM.7968.15.3	CRTAM	True
GCST90240870	D-dimer levels (FGA.FGB.FGG.4907.56.1)	FGA.FGB.FGG.4907.56.1	FGA	True
GCST90240871	D-glucuronyl C5-epimerase levels (GLCE.7808.5.3)	GLCE.7808.5.3	GLCE	True
GCST90240872	DCC-interacting protein 13-alpha levels (APPL1.12825.18.3)	APPL1.12825.18.3	APPL1	True
GCST90240873	DCN1-like protein 3 levels (DCUN1D3.13553.4.3)	DCUN1D3.13553.4.3	DCUN1D3	True
GCST90240874	DCN1-like protein 5 levels (DCUN1D5.8760.10.3)	DCUN1D5.8760.10.3	DCUN1D5	True
GCST90240875	dCTP pyrophosphatase 1 levels (DCTPP1.4314.12.2)	DCTPP1.4314.12.2	DCTPP1	True
GCST90240876	DDB1- and CUL4-associated factor 5 levels (DCAF5.11283.13.3)	DCAF5.11283.13.3	DCAF5	True
GCST90240877	Death-associated protein kinase 2 levels (DAPK2.4355.13.1)	DAPK2.4355.13.1	DAPK2	True
GCST90240878	Decorin levels (DCN.2666.53.2)	DCN.2666.53.2	DCN	True
GCST90240879	Dedicator of cytokinesis protein 9 levels (DOCK9.14002.18.3)	DOCK9.14002.18.3	DOCK9	True
GCST90240880	Deformed epidermal autoregulatory factor 1 homolog levels (DEAF1.6369.82.3)	DEAF1.6369.82.3	DEAF1	True
GCST90240881	Delta and Notch-like epidermal growth factor-related receptor levels (DNER.9769.48.3)	DNER.9769.48.3	DNER	True
GCST90240882	Delta and Notch-like epidermal growth factor-related receptor levels (DNER.11442.1.3)	DNER.11442.1.3	DNER	True
GCST90240883	Delta-like protein 1 levels (DLL1.5349.69.3)	DLL1.5349.69.3	DLL1	True
GCST90240884	Delta-like protein 1 levels (DLL1.8264.43.3)	DLL1.8264.43.3	DLL1	True
GCST90240885	Delta-like protein 4 levels (DLL4.3305.6.1)	DLL4.3305.6.1	DLL4	True
GCST90240746	Collagen alpha-1(VIII) chain levels (COL8A1.4807.13.3)	VIII	VIII	True
GCST90240747	Collagen alpha-1(XV) chain levels (COL15A1.8974.172.3)	XV	XV	True
GCST90240748	Collagen alpha-1(XX) chain levels (COL20A1.8804.39.3)	XX	XX	True
GCST90240749	Collagen alpha-1(XXVI) chain levels (COL26A1.9539.25.3)	XXVI	XXVI	True
GCST90240750	Collagen alpha-1(XXVIII) chain levels (COL28A1.10702.1.3)	XXVIII	XXVIII	True
GCST90240751	Collagen alpha-2(IX) chain levels (COL9A2.9804.11.3)	IX	IX	True
GCST90240752	Collagen alpha-2(XI) chain levels (COL11A2.11278.4.3)	XI	XI	True
GCST90240753	Collagen alpha-3(VI) chain levels (COL6A3.11196.31.3)	VI	VI	True
GCST90240754	Collagen alpha-5(VI) chain levels (COL6A5.11155.16.3)	VI	VI	True
GCST90240755	Collagenase 3 levels (MMP13.4925.54.2)	MMP13.4925.54.2	MMP13	True
GCST90240756	Collectin-10 levels (COLEC10.6558.5.3)	COLEC10.6558.5.3	COLEC10	True
GCST90240757	Collectin-11 levels (COLEC11.4430.44.3)	COLEC11.4430.44.3	COLEC11	True
GCST90240758	Collectin-12 levels (COLEC12.5457.5.2)	COLEC12.5457.5.2	COLEC12	True
GCST90240759	Collectin-12 levels (COLEC12.9787.23.3)	COLEC12.9787.23.3	COLEC12	True
GCST90240760	Collectrin levels (TMEM27.7816.23.3)	TMEM27.7816.23.3	TMEM27	True
GCST90240761	COMM domain-containing protein 1 levels (COMMD1.12509.115.3)	COMMD1.12509.115.3	COMMD1	True
GCST90240762	COMM domain-containing protein 7 levels (COMMD7.2823.7.1)	COMMD7.2823.7.1	COMMD7	True
GCST90240763	Complement C1q and tumor necrosis factor-related protein 9A levels (C1QTNF9.6019.12.3)	C1QTNF9.6019.12.3	C1QTNF9	True
GCST90240764	Complement C1q subcomponent subunit C levels (C1QC.14100.63.3)	C1QC.14100.63.3	C1QC	True
GCST90240765	Complement C1q tumor necrosis factor-related protein 1 levels (C1QTNF1.6304.8.3)	C1QTNF1.6304.8.3	C1QTNF1	True
GCST90240766	Complement C1q tumor necrosis factor-related protein 3 levels (C1QTNF3.7251.64.3)	C1QTNF3.7251.64.3	C1QTNF3	True
GCST90240767	Complement C1q tumor necrosis factor-related protein 5 levels (C1QTNF5.7810.20.3)	C1QTNF5.7810.20.3	C1QTNF5	True
GCST90240768	Complement C1q-like protein 4 levels (C1QL4.7132.55.3)	C1QL4.7132.55.3	C1QL4	True
GCST90240769	Complement C1r subcomponent-like protein levels (C1RL.9348.1.3)	C1RL.9348.1.3	C1RL	True
GCST90240770	Complement C4 levels (C4A.C4B.4481.34.2)	C4A.C4B.4481.34.2	C4A	True
GCST90240771	Complement component 1 Q subcomponent-binding protein, mitochondrial levels (C1QBP.4967.1.1)	C1QBP.4967.1.1	C1QBP	True
GCST90240772	Complement component C1q receptor levels (CD93.11200.52.3)	CD93.11200.52.3	CD93	True
GCST90240773	Complement component C1q receptor levels (CD93.14136.234.3)	CD93.14136.234.3	CD93	True
GCST90240774	Complement component C6 levels (C6.4127.75.1)	C6.4127.75.1	C6	True
GCST90240775	Complement component C8 levels (C8A.C8B.C8G.2429.27.4)	C8A.C8B.C8G.2429.27.4	C8A	True
GCST90240776	Complement component C9 levels (C9.3060.43.2)	C9.3060.43.2	C9	True
GCST90240777	Complement decay-accelerating factor levels (CD55.5069.9.3)	CD55.5069.9.3	CD55	True
GCST90240778	Complement factor B levels (CFB.4129.72.1)	CFB.4129.72.1	CFB	True
GCST90240779	Complement factor H levels (CFH.4159.130.1)	CFH.4159.130.1	CFH	True
GCST90240780	Complement factor H-related protein 5 levels (CFHR5.3666.17.4)	CFHR5.3666.17.4	CFHR5	True
GCST90240781	Complement factor H-related protein 5 levels (CFHR5.7885.17.3)	CFHR5.7885.17.3	CFHR5	True
GCST90240782	Complement factor I levels (CFI.2567.5.6)	CFI.2567.5.6	CFI	True
GCST90240783	Connective tissue growth factor levels (CTGF.2975.19.2)	CTGF.2975.19.2	CTGF	True
GCST90240784	Conserved oligomeric Golgi complex subunit 8 levels (COG8.9543.131.3)	COG8.9543.131.3	COG8	True
GCST90240785	Contactin-2 levels (CNTN2.3296.92.2)	CNTN2.3296.92.2	CNTN2	True
GCST90240786	Contactin-4 levels (CNTN4.3298.52.2)	CNTN4.3298.52.2	CNTN4	True
GCST90240787	Contactin-5 levels (CNTN5.3299.29.2)	CNTN5.3299.29.2	CNTN5	True
GCST90240788	Contactin-associated protein 1 levels (CNTNAP1.14617.7.3)	CNTNAP1.14617.7.3	CNTNAP1	True
GCST90240789	Contactin-associated protein-like 2 levels (CNTNAP2.6965.19.3)	CNTNAP2.6965.19.3	CNTNAP2	True
GCST90240790	COP9 signalosome complex subunit 2 levels (COPS2.14029.42.3)	COPS2.14029.42.3	COPS2	True
GCST90240791	Copine-1 levels (CPNE1.5346.24.3)	CPNE1.5346.24.3	CPNE1	True
GCST90240792	Core-binding factor subunit beta levels (CBFB.10048.7.3)	CBFB.10048.7.3	CBFB	True
GCST90240793	Corneodesmosin levels (CDSN.7085.81.3)	CDSN.7085.81.3	CDSN	True
GCST90242334	Potassium-transporting ATPase subunit beta levels (ATP4B.9994.217.3)	ATP4B.9994.217.3	ATP4B	True
GCST90243295	Urea transporter 2 levels (SLC14A2.12818.159.3)	SLC14A2.12818.159.3	SLC14A2	True
GCST90243296	Uridine-cytidine kinase 2 levels (UCK2.12515.45.3)	UCK2.12515.45.3	UCK2	True
GCST90243297	Urokinase plasminogen activator surface receptor levels (PLAUR.2652.15.1)	PLAUR.2652.15.1	PLAUR	True
GCST90243298	Urokinase-type plasminogen activator levels (PLAU.4158.54.2)	PLAU.4158.54.2	PLAU	True
GCST90243299	Uromodulin-like 1 levels (UMODL1.9114.84.3)	UMODL1.9114.84.3	UMODL1	True
GCST90243300	Uronyl 2-sulfotransferase levels (UST.8364.74.3)	UST.8364.74.3	UST	True
GCST90243301	Uroplakin-3b levels (UPK3B.8286.44.3)	UPK3B.8286.44.3	UPK3B	True
GCST90243302	Uroplakin-3b-like protein levels (UPK3BL.6633.43.3)	UPK3BL.6633.43.3	UPK3BL	True
GCST90243303	Uroporphyrinogen-III synthase levels (UROS.11248.43.3)	UROS.11248.43.3	UROS	True
GCST90243304	Urotensin-2 receptor levels (UTS2R.13530.5.3)	UTS2R.13530.5.3	UTS2R	True
GCST90243305	UTP--glucose-1-phosphate uridylyltransferase levels (UGP2.13939.14.3)	UGP2.13939.14.3	UGP2	True
GCST90243306	UV excision repair protein RAD23 homolog A levels (RAD23A.10058.1.3)	RAD23A.10058.1.3	RAD23A	True
GCST90243307	UV excision repair protein RAD23 homolog B levels (RAD23B.12522.6.3)	RAD23B.12522.6.3	RAD23B	True
GCST90243308	V-set and immunoglobulin domain-containing protein 1 levels (VSIG1.8367.142.3)	VSIG1.8367.142.3	VSIG1	True
GCST90243309	V-set and immunoglobulin domain-containing protein 2 levels (VSIG2.8018.43.3)	VSIG2.8018.43.3	VSIG2	True
GCST90243310	V-set and transmembrane domain-containing protein 2-like protein levels (VSTM2L.6549.60.3)	VSTM2L.6549.60.3	VSTM2L	True
GCST90243311	V-set and transmembrane domain-containing protein 4 levels (VSTM4.7242.14.3)	VSTM4.7242.14.3	VSTM4	True
GCST90243312	Vacuolar protein sorting-associated protein 29 levels (VPS29.14318.1.3)	VPS29.14318.1.3	VPS29	True
GCST90243313	Vacuolar protein sorting-associated protein 4A levels (VPS4A.11476.43.3)	VPS4A.11476.43.3	VPS4A	True
GCST90243314	Vacuolar protein sorting-associated protein 4B levels (VPS4B.12668.7.3)	VPS4B.12668.7.3	VPS4B	True
